               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.017105,           0.0056931,           0.0038815,             0.91948,             0.92326,             0.94602,             0.74126,            0.013898,           0.0032955,           0.0096577,           0.0038125,           0.0038125,           0.0038125
                 127,            0.017047,           0.0052402,           0.0040086,             0.93041,             0.89995,             0.94961,             0.74644,            0.014052,           0.0034049,           0.0087192,            0.003763,            0.003763,            0.003763
                 128,            0.017239,           0.0054107,            0.003639,             0.89626,             0.90497,             0.93533,             0.72798,            0.014622,           0.0034034,            0.012013,           0.0037135,           0.0037135,           0.0037135
                 129,            0.017292,           0.0055928,            0.002741,             0.90837,               0.902,             0.93516,             0.73518,            0.013809,           0.0034045,            0.011062,            0.003664,            0.003664,            0.003664
                 130,            0.017013,           0.0056697,           0.0032474,             0.90718,             0.93054,             0.94333,             0.74067,            0.013639,           0.0033401,           0.0099652,           0.0036145,           0.0036145,           0.0036145
                 131,            0.016882,           0.0053952,           0.0039639,             0.92124,             0.92518,             0.94414,             0.73152,            0.014019,           0.0034307,           0.0091599,            0.003565,            0.003565,            0.003565
                 132,            0.016858,           0.0054631,           0.0029787,             0.92163,             0.92705,             0.94599,             0.74148,            0.013957,            0.003389,           0.0091954,           0.0035155,           0.0035155,           0.0035155
                 133,            0.016876,           0.0053777,           0.0031579,             0.90391,             0.94398,             0.94841,             0.74425,             0.01376,            0.003384,           0.0090738,            0.003466,            0.003466,            0.003466
                 134,            0.016509,           0.0053877,           0.0028101,             0.89387,             0.93342,             0.94026,             0.73198,            0.013819,            0.003428,            0.012119,           0.0034165,           0.0034165,           0.0034165
                 135,            0.016661,           0.0054743,            0.003304,             0.91644,             0.91403,              0.9367,             0.73877,            0.013898,           0.0034445,            0.010494,            0.003367,            0.003367,            0.003367
                 136,            0.016525,           0.0054426,           0.0031421,             0.88023,             0.92098,             0.92653,             0.72239,            0.014269,           0.0034742,            0.011762,           0.0033175,           0.0033175,           0.0033175
                 137,            0.016383,           0.0052876,           0.0030233,             0.93575,             0.93082,              0.9444,             0.73617,            0.013852,           0.0034589,           0.0095483,            0.003268,            0.003268,            0.003268
                 138,            0.016551,           0.0052785,           0.0030578,             0.92103,             0.91883,             0.94901,              0.7479,            0.013941,           0.0034523,           0.0085594,           0.0032185,           0.0032185,           0.0032185
                 139,            0.016012,           0.0052243,           0.0030733,             0.92787,             0.93405,             0.95464,             0.74814,            0.013643,           0.0034237,           0.0072037,            0.003169,            0.003169,            0.003169
                 140,            0.016238,           0.0052921,           0.0024642,             0.92817,             0.90393,             0.93671,              0.7324,            0.014043,           0.0033895,            0.010144,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015946,           0.0052942,           0.0023476,             0.92827,             0.92841,             0.94324,             0.74104,            0.014143,           0.0034582,           0.0093239,             0.00307,             0.00307,             0.00307
                 142,            0.016308,           0.0052193,           0.0026101,             0.92005,             0.90723,             0.94214,             0.74121,            0.013922,           0.0034545,            0.010252,           0.0030205,           0.0030205,           0.0030205
                 143,            0.016282,           0.0052686,            0.003098,             0.92784,             0.91742,             0.94439,             0.74109,            0.013927,           0.0034342,           0.0091696,            0.002971,            0.002971,            0.002971
                 144,            0.016031,           0.0051691,           0.0030549,             0.89152,             0.93509,             0.94557,             0.73895,            0.014303,           0.0034081,           0.0099343,           0.0029215,           0.0029215,           0.0029215
